127.0.0.1 - - [09/Nov/2017:16:47:02 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:47:03 +0900] "GET /BBS/ HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:47:03 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2218
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:47:03 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:47:03 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:47:09 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:48:50 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2218
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:48:50 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:48:50 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:48:55 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:52:52 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2218
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:52:52 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:52:53 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:52:55 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:52:55 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:52:55 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:52:59 +0900] "GET /BBS/login.jps HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:53:05 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:53:07 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:53:08 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:53:09 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:53:10 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:53:10 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:53:15 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2218
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:53:15 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:53:15 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:53:24 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:53:24 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:53:24 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:01:21 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:01:21 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:01:21 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:01:43 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2999
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:01:43 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:01:44 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:06:52 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:18:57 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 500 3011
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:19:07 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:19:07 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:19:07 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:19:10 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2999
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:19:10 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:19:10 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:19:31 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 500 3011
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:31:24 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 500 3011
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:31:39 +0900] "GET /bbs/main.jsp HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:31:39 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:31:46 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:31:46 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:31:46 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:31:51 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:31:56 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 292
